id,category,topic,difficulty,requires_graph,requires_normative_hierarchy,query,end_to_end_passed,retrieval_passed,answer_passed,citation_grounding_passed,answer_faithfulness_passed,final_quality_score,answer_completeness_score,required_citation_coverage,required_citations_found,missing_required_citations,forbidden_citation_violations,retrieval_source_distribution,graph_expansion_used,graph_depth,graph_edge_types,citation_validation_passed,quality_validation_passed,unsupported_article_numbers,unretrieved_citations,low_information_quotes_count,legal_claim_citation_coverage,no_article_title_only_answer,insufficient_context_handled,failure_reasons,top3_citations
contract_appendix,direct_qa,phu luc hop dong lao dong,medium,False,False,Phu luc hop dong lao dong co gia tri nhu hop dong khong?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 22,,,"{""hybrid"": 2, ""vector"": 8}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 22 (Phụ lục hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 22 (Phụ lục hợp đồng lao động), khoản 2 || Bộ luật Lao động 2019, Điều 33 (Sửa đổi, bổ sung hợp đồng lao động), khoản 3"
contract_deposit_forbidden,exception_based_qa,hanh vi bi cam khi giao ket,easy,False,False,Cong ty yeu cau nguoi lao dong dat coc tien khi ky hop dong co dung luat khong?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 17,,,"{""hybrid"": 3, ""vector"": 7}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 17 (Hành vi người sử dụng lao động không được làm khi giao kết, thực hiện hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 17 (Hành vi người sử dụng lao động không được làm khi giao kết, thực hiện hợp đồng lao động), khoản 2 || Bộ luật Lao động 2019, Điều 17 (Hành vi người sử dụng lao động không được làm khi giao kết, thực hiện hợp đồng lao động), khoản 3"
contract_keep_original_papers,exception_based_qa,hanh vi bi cam khi giao ket,easy,False,False,Nguoi su dung lao dong co duoc giu ban chinh can cuoc hoac bang cap cua nguoi lao dong khong?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 17,,,"{""hybrid"": 3, ""vector"": 7}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 17 (Hành vi người sử dụng lao động không được làm khi giao kết, thực hiện hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 17 (Hành vi người sử dụng lao động không được làm khi giao kết, thực hiện hợp đồng lao động), khoản 2 || Bộ luật Lao động 2019, Điều 17 (Hành vi người sử dụng lao động không được làm khi giao kết, thực hiện hợp đồng lao động), khoản 3"
probation_agreement,direct_qa,thu viec,medium,False,False,Thu viec duoc thoa thuan nhu the nao?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 24,,,"{""hybrid"": 3, ""vector"": 6}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 24 (Thử việc), khoản 1 || Bộ luật Lao động 2019, Điều 24 (Thử việc), khoản 2 || Bộ luật Lao động 2019, Điều 24 (Thử việc), khoản 3"
probation_duration,direct_qa,thu viec,medium,False,False,Thoi gian thu viec toi da la bao lau?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 25,,,"{""vector"": 10}",False,0,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 25 (Thời gian thử việc), khoản 1 || Bộ luật Lao động 2019, Điều 25 (Thời gian thử việc), khoản 2 || Bộ luật Lao động 2019, Điều 25 (Thời gian thử việc), khoản 3"
probation_wage,calculation_or_table_lookup,tien luong thu viec,easy,False,False,Tien luong thu viec toi thieu bang bao nhieu phan tram luong cua cong viec?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 26,,,"{""vector"": 1, ""hybrid"": 3, ""graph"": 6}",True,3,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 26 (Tiền lương thử việc) || Bộ luật Lao động 2019, Điều 95 (Trả lương), khoản 1 || Bộ luật Lao động 2019, Điều 98 (Tiền lương làm thêm giờ, làm việc vào ban đêm), khoản 1, các điểm a, b, c"
probation_end,procedure_qa,thu viec,medium,False,False,Khi ket thuc thoi gian thu viec thi nguoi su dung lao dong phai lam gi?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 27,,,"{""hybrid"": 2, ""vector"": 8}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 27 (Kết thúc thời gian thử việc), khoản 1 || Bộ luật Lao động 2019, Điều 27 (Kết thúc thời gian thử việc), khoản 2 || Nghị định 145/2020/NĐ-CP, Điều 25 (Trình tự, thủ tục cấp giấy phép), khoản 1"
employee_notice_period,direct_qa,don phuong cham dut hop dong,medium,False,False,Nguoi lao dong don phuong cham dut hop dong phai bao truoc bao lau?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 35 khoan 1,,,"{""hybrid"": 3, ""vector"": 6, ""graph"": 1}",True,3,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 35 (Quyền đơn phương chấm dứt hợp đồng lao động của người lao động), khoản 1, các điểm a, b, c, d || Bộ luật Lao động 2019, Điều 36 (Quyền đơn phương chấm dứt hợp đồng lao động của người sử dụng lao động), khoản 1, các điểm a, b || Bộ luật Lao động 2019, Điều 37 (Trường hợp người sử dụng lao động không được thực hiện quyền đơn phương chấm dứt hợp đồng lao động), khoản 1"
employee_no_notice,exception_based_qa,don phuong cham dut hop dong,medium,False,False,Khi nao nguoi lao dong duoc nghi viec khong can bao truoc?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 35 khoan 2,,,"{""hybrid"": 2, ""vector"": 8}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 35 (Quyền đơn phương chấm dứt hợp đồng lao động của người lao động), khoản 2, các điểm a, b, c, d, đ, e, g || Bộ luật Lao động 2019, Điều 35 (Quyền đơn phương chấm dứt hợp đồng lao động của người lao động), khoản 1, các điểm a, b, c, d || Bộ luật Lao động 2019, Điều 37 (Trường hợp người sử dụng lao động không được thực hiện quyền đơn phương chấm dứt hợp đồng lao động), khoản 1"
employer_unilateral_cases,direct_qa,don phuong cham dut hop dong,medium,False,False,Nguoi su dung lao dong duoc don phuong cham dut hop dong trong nhung truong hop nao?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 36,,,"{""hybrid"": 3, ""graph"": 7}",True,3,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 35 (Quyền đơn phương chấm dứt hợp đồng lao động của người lao động), khoản 1, các điểm a, b, c, d || Bộ luật Lao động 2019, Điều 36 (Quyền đơn phương chấm dứt hợp đồng lao động của người sử dụng lao động), khoản 1, các điểm a, b || Bộ luật Lao động 2019, Điều 40 (Nghĩa vụ của người lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 1"
employer_no_unilateral_cases,exception_based_qa,don phuong cham dut hop dong,medium,False,False,Truong hop nao nguoi su dung lao dong khong duoc don phuong cham dut hop dong?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 37,,,"{""hybrid"": 3, ""vector"": 1, ""graph"": 6}",True,3,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 35 (Quyền đơn phương chấm dứt hợp đồng lao động của người lao động), khoản 1, các điểm a, b, c, d || Bộ luật Lao động 2019, Điều 37 (Trường hợp người sử dụng lao động không được thực hiện quyền đơn phương chấm dứt hợp đồng lao động), khoản 2 || Bộ luật Lao động 2019, Điều 36 (Quyền đơn phương chấm dứt hợp đồng lao động của người sử dụng lao động), khoản 1, các điểm a, b"
unlawful_unilateral_definition,definition_qa,don phuong cham dut trai phap luat,easy,False,False,Don phuong cham dut hop dong lao dong trai phap luat la gi?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 39,,,"{""graph"": 1, ""vector"": 8}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 3 (Giải thích từ ngữ) || Bộ luật Lao động 2019, Điều 39 (Đơn phương chấm dứt hợp đồng lao động trái pháp luật) || Nghị định 145/2020/NĐ-CP, Điều 89 (Một số quy định riêng đối với lao động là người giúp việc gia đình), khoản 1, điểm đ"
employee_unlawful_liability,scenario_based_qa,don phuong cham dut trai phap luat,medium,False,False,Nguoi lao dong don phuong cham dut hop dong trai luat thi phai boi thuong gi?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 40 || BLLD Dieu 39,,,"{""hybrid"": 6, ""vector"": 4}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 40 (Nghĩa vụ của người lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 2 || Bộ luật Lao động 2019, Điều 40 (Nghĩa vụ của người lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 1 || Bộ luật Lao động 2019, Điều 40 (Nghĩa vụ của người lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 3"
employer_unlawful_liability,scenario_based_qa,don phuong cham dut trai phap luat,medium,False,False,Cong ty don phuong cham dut hop dong trai phap luat thi phai nhan nguoi lao dong lai khong?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 41 || BLLD Dieu 39,,,"{""hybrid"": 4, ""vector"": 6}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 41 (Nghĩa vụ của người sử dụng lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 1 || Bộ luật Lao động 2019, Điều 41 (Nghĩa vụ của người sử dụng lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 3 || Bộ luật Lao động 2019, Điều 41 (Nghĩa vụ của người sử dụng lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 2"
severance_allowance,direct_qa,tro cap thoi viec,medium,False,False,Tro cap thoi viec duoc tra trong truong hop nao?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 46,,,"{""hybrid"": 4, ""vector"": 2, ""graph"": 4}",True,3,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 46 (Trợ cấp thôi việc), khoản 1 || Bộ luật Lao động 2019, Điều 46 (Trợ cấp thôi việc), khoản 4 || Bộ luật Lao động 2019, Điều 47 (Trợ cấp mất việc làm), khoản 1"
job_loss_allowance,calculation_or_table_lookup,tro cap mat viec lam,medium,False,False,Tro cap mat viec lam duoc tinh nhu the nao?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 47,,,"{""hybrid"": 4, ""graph"": 3, ""vector"": 3}",True,3,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 47 (Trợ cấp mất việc làm), khoản 1 || Bộ luật Lao động 2019, Điều 46 (Trợ cấp thôi việc), khoản 1 || Bộ luật Lao động 2019, Điều 41 (Nghĩa vụ của người sử dụng lao động khi đơn phương chấm dứt hợp đồng lao động trái pháp luật), khoản 1"
severance_vs_job_loss,comparison_qa,tro cap khi cham dut,medium,True,False,So sanh tro cap thoi viec va tro cap mat viec lam.,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 46 || BLLD Dieu 47,,,"{""hybrid"": 5, ""vector"": 3, ""graph"": 2}",True,3,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 46 (Trợ cấp thôi việc), khoản 1 || Bộ luật Lao động 2019, Điều 47 (Trợ cấp mất việc làm), khoản 1 || Bộ luật Lao động 2019, Điều 47 (Trợ cấp mất việc làm), khoản 4"
structural_change_obligation,procedure_qa,thay doi co cau cong nghe,hard,True,False,Cong ty thay doi co cau cong nghe thi phai lam gi voi nguoi lao dong?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 42 || BLLD Dieu 44,,,"{""hybrid"": 4, ""vector"": 6}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 44 (Phương án sử dụng lao động), khoản 2 || Bộ luật Lao động 2019, Điều 44 (Phương án sử dụng lao động), khoản 1, các điểm a, b, c, d, đ || Bộ luật Lao động 2019, Điều 42 (Nghĩa vụ của người sử dụng lao động trong trường hợp thay đổi cơ cấu, công nghệ hoặc vì lý do kinh tế), khoản 1, các điểm a, b, c"
structural_change_job_loss,multi_hop_qa,thay doi co cau cong nghe,hard,True,True,Cong ty thay doi co cau thi phai tra tro cap gi va can cu cach tinh o dau?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 42 || BLLD Dieu 47 || ND145 Dieu 8,,,"{""hybrid"": 8, ""vector"": 1, ""graph"": 1}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 47 (Trợ cấp mất việc làm), khoản 1 || Bộ luật Lao động 2019, Điều 47 (Trợ cấp mất việc làm), khoản 3 || Bộ luật Lao động 2019, Điều 47 (Trợ cấp mất việc làm), khoản 2"
final_settlement,procedure_qa,nghia vu khi cham dut,medium,False,False,"Sau khi cham dut hop dong, cong ty phai thanh toan va tra giay to trong thoi han nao?",True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 48,,,"{""graph"": 3, ""vector"": 7}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 17 (Hành vi người sử dụng lao động không được làm khi giao kết, thực hiện hợp đồng lao động), khoản 1 || Bộ luật Lao động 2019, Điều 17 (Hành vi người sử dụng lao động không được làm khi giao kết, thực hiện hợp đồng lao động), khoản 2 || Bộ luật Lao động 2019, Điều 17 (Hành vi người sử dụng lao động không được làm khi giao kết, thực hiện hợp đồng lao động), khoản 3"
overtime_conditions_limits,exception_based_qa,lam them gio,hard,True,True,Truong hop nao duoc lam them gio va gioi han lam them theo thang la bao nhieu?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 107 || ND145 Dieu 60,,,"{""hybrid"": 6, ""graph"": 1}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 107 (Làm thêm giờ), khoản 2, các điểm a, b, c || Bộ luật Lao động 2019, Điều 107 (Làm thêm giờ), khoản 3, các điểm a, b, c, d, đ || Bộ luật Lao động 2019, Điều 107 (Làm thêm giờ), khoản 1"
overtime_pay,calculation_or_table_lookup,tien luong lam them gio,medium,True,True,Luong lam them gio duoc tra nhu the nao?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 98 || ND145 Dieu 55,,,"{""hybrid"": 6, ""graph"": 1}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 98 (Tiền lương làm thêm giờ, làm việc vào ban đêm), khoản 1, các điểm a, b, c || Bộ luật Lao động 2019, Điều 98 (Tiền lương làm thêm giờ, làm việc vào ban đêm), khoản 2 || Bộ luật Lao động 2019, Điều 98 (Tiền lương làm thêm giờ, làm việc vào ban đêm), khoản 3"
night_overtime_pay,calculation_or_table_lookup,tien luong lam them gio,hard,True,True,Lam them gio vao ban dem thi tien luong duoc tinh theo dieu nao?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 98 || ND145 Dieu 57,,,"{""hybrid"": 4, ""vector"": 1}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 98 (Tiền lương làm thêm giờ, làm việc vào ban đêm), khoản 1, các điểm a, b, c || Bộ luật Lao động 2019, Điều 98 (Tiền lương làm thêm giờ, làm việc vào ban đêm), khoản 2 || Bộ luật Lao động 2019, Điều 98 (Tiền lương làm thêm giờ, làm việc vào ban đêm), khoản 3"
normal_working_time,direct_qa,thoi gio lam viec nghi ngoi,easy,False,False,Thoi gio lam viec binh thuong toi da la bao nhieu?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 105,,,"{""graph"": 6, ""hybrid"": 4}",True,3,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 98 (Tiền lương làm thêm giờ, làm việc vào ban đêm), khoản 1, các điểm a, b, c || Bộ luật Lao động 2019, Điều 105 (Thời giờ làm việc bình thường), khoản 1 || Bộ luật Lao động 2019, Điều 107 (Làm thêm giờ), khoản 1"
night_work_definition,direct_qa,thoi gio lam viec nghi ngoi,easy,False,False,Gio lam viec ban dem duoc tinh tu may gio den may gio?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 106,,,"{""hybrid"": 3, ""graph"": 7}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 106 (Giờ làm việc ban đêm) || Bộ luật Lao động 2019, Điều 105 (Thời giờ làm việc bình thường), khoản 1 || Bộ luật Lao động 2019, Điều 111 (Nghỉ hằng tuần), khoản 1"
weekly_rest,direct_qa,thoi gio lam viec nghi ngoi,medium,False,False,Nguoi lao dong duoc nghi hang tuan nhu the nao?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 111,,,"{""hybrid"": 6, ""graph"": 4}",True,2,"{""MENTIONS_TOPIC"": 1}",True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 111 (Nghỉ hằng tuần), khoản 1 || Bộ luật Lao động 2019, Điều 111 (Nghỉ hằng tuần), khoản 2 || Bộ luật Lao động 2019, Điều 111 (Nghỉ hằng tuần), khoản 3"
annual_leave,direct_qa,thoi gio lam viec nghi ngoi,medium,False,False,Nguoi lao dong lam du 12 thang thi duoc nghi hang nam bao nhieu ngay?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 113,,,"{""hybrid"": 6, ""graph"": 1, ""vector"": 3}",True,2,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 113 (Nghỉ hằng năm), khoản 3 || Bộ luật Lao động 2019, Điều 113 (Nghỉ hằng năm), khoản 1, các điểm a, b, c || Bộ luật Lao động 2019, Điều 113 (Nghỉ hằng năm), khoản 2"
labor_rules_content,direct_qa,ky luat lao dong,medium,False,False,Noi quy lao dong phai co nhung noi dung chu yeu nao?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 118,,,"{""hybrid"": 4, ""vector"": 4, ""graph"": 2}",True,3,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 118 (Nội quy lao động), khoản 1 || Bộ luật Lao động 2019, Điều 118 (Nội quy lao động), khoản 2, các điểm a, b, c, d, đ, e, g, h, i || Bộ luật Lao động 2019, Điều 118 (Nội quy lao động), khoản 3"
discipline_principles,procedure_qa,ky luat lao dong,medium,False,False,Khi xu ly ky luat lao dong phai tuan thu nguyen tac nao?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 122,,,"{""hybrid"": 5, ""vector"": 1, ""graph"": 4}",True,3,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 118 (Nội quy lao động), khoản 1 || Bộ luật Lao động 2019, Điều 124 (Hình thức xử lý kỷ luật lao động), khoản 1 || Bộ luật Lao động 2019, Điều 122 (Nguyên tắc, trình tự, thủ tục xử lý kỷ luật lao động), khoản 1, các điểm a, b, c, d"
discipline_forms,direct_qa,ky luat lao dong,easy,False,False,Cac hinh thuc xu ly ky luat lao dong gom nhung gi?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 124,,,"{""hybrid"": 5, ""vector"": 1, ""graph"": 4}",True,3,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 118 (Nội quy lao động), khoản 1 || Bộ luật Lao động 2019, Điều 124 (Hình thức xử lý kỷ luật lao động), khoản 1 || Bộ luật Lao động 2019, Điều 122 (Nguyên tắc, trình tự, thủ tục xử lý kỷ luật lao động), khoản 1, các điểm a, b, c, d"
dismissal_cases,exception_based_qa,sa thai,medium,False,False,Nguoi lao dong bi sa thai trong nhung truong hop nao?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 125,,,"{""vector"": 1, ""hybrid"": 5, ""graph"": 4}",True,3,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 124 (Hình thức xử lý kỷ luật lao động), khoản 4 || Bộ luật Lao động 2019, Điều 125 (Áp dụng hình thức xử lý kỷ luật sa thải) || Bộ luật Lao động 2019, Điều 124 (Hình thức xử lý kỷ luật lao động), khoản 1"
prohibited_discipline,exception_based_qa,ky luat lao dong,easy,False,False,Cong ty co duoc phat tien hoac cat luong thay cho ky luat lao dong khong?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 127,,,"{""hybrid"": 7, ""vector"": 2, ""graph"": 1}",True,3,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 127 (Các hành vi bị nghiêm cấm khi xử lý kỷ luật lao động), khoản 1 || Bộ luật Lao động 2019, Điều 127 (Các hành vi bị nghiêm cấm khi xử lý kỷ luật lao động), khoản 2 || Bộ luật Lao động 2019, Điều 127 (Các hành vi bị nghiêm cấm khi xử lý kỷ luật lao động), khoản 3"
temporary_suspension,procedure_qa,ky luat lao dong,medium,False,False,Tam dinh chi cong viec de xu ly ky luat duoc quy dinh the nao?,True,True,True,True,True,100.0,1.0,1.0,BLLD Dieu 128,,,"{""hybrid"": 5, ""graph"": 4, ""vector"": 1}",True,3,{},True,True,,,0,True,True,True,,"Bộ luật Lao động 2019, Điều 118 (Nội quy lao động), khoản 1 || Bộ luật Lao động 2019, Điều 124 (Hình thức xử lý kỷ luật lao động), khoản 1 || Bộ luật Lao động 2019, Điều 128 (Tạm đình chỉ công việc), khoản 1"
